teamMarket,Pos,HEIGHT,CLASS YR,jerseyNum,fullName,GS,GP,MP,ORB,TOV,STL,DRB,3PAr,3P%,extra_poss,extra_poss_per_40,3PAr %ile,3P% %ile,extra_poss_perc,extra_poss_per_40_perc,status,OBPR,OBPR_perct,DBPR,DBPR_perct,BPR,BPR_perct,Position,Role
Yale,G,76,Freshman,4,Alvin Loving,0,7,18.02,0,1,0,1,0.375,0.33333,0,0,0.473,0.567,0.022,0.022,,,,,,,,#N/A,#N/A
Yale,G,74,Freshman,0,Courtney Wallace,0,9,35.54,1,2,0,4,0.33333,0.33333,3,3.376477209,0.412,0.567,0.139,0.291,,,,,,,,#N/A,#N/A
Yale,G,71,Freshman,1,Jacob Tsai,0,3,6.17,0,1,0,0,0.5,0,-1,-6.482982172,0.634,0,0.009,0.006,,,,,,,,#N/A,#N/A
Harvard,G,77,Freshman,10,Frankie Mannino,0,26,228.5,14,9,12,18,0.3125,0.1,35,6.126914661,0.39,0.134,0.413,0.642,,,,,,,,#N/A,#N/A
Brown,G,77,Freshman,1,Isaiah Langham,11,25,532.07,16,38,20,38,0.30851,0.2069,36,2.706410811,0.384,0.215,0.418,0.211,,-2.0055591,0.083,-1.3587718,0.116,-3.3643309,0.052,2.523919104,3.564376952
Harvard,G,74,Freshman,18,Joseph Quartey,0,6,16.43,0,0,1,0,0.66667,0,1,2.434570907,0.828,0,0.074,0.183,,,,,,,,#N/A,#N/A
Brown,G,75,Freshman,4,Jonah Drezner,0,3,3.89,0,0,0,1,,,1,10.28277635,0,0,0.074,0.93,,,,,,,,#N/A,#N/A
Brown,G,77,Freshman,30,Brady Loughlin,1,11,199.61,2,9,2,18,0.79245,0.38095,13,2.605079906,0.92,0.794,0.252,0.2,,,,,,,,#N/A,#N/A
Columbia,G,74,Freshman,0,Edwin Bai,0,2,3.2,0,0,0,0,,,0,0,0,0,0.022,0.022,,,,,,,,#N/A,#N/A
Columbia,G,77,Freshman,24,Miles Franklin,20,24,584.83,27,23,22,72,0.31034,0.2381,98,6.702802524,0.388,0.263,0.776,0.701,,-1.2450023,0.174,1.3662149,0.824,0.1212126,0.444,3.438339417,4.126859838
Princeton,G,80,Freshman,8,Landon Clark,22,28,819.99,24,33,25,88,0.69863,0.36275,104,5.0732326,0.86,0.726,0.798,0.513,,0.073869176,0.421,-0.23286567,0.402,-0.158996494,0.407,2.687481943,3.53290495
Princeton,G,75,Freshman,6,Ryan Mandes,0,7,5.73,0,0,0,1,0,,1,6.980802792,0,0,0.074,0.732,,,,,,,,#N/A,#N/A
Princeton,G,77,Freshman,11,Jake Sussberg,0,18,112.38,2,2,1,12,0.77778,0.33333,13,4.627157857,0.911,0.567,0.252,0.458,,,,,,,,#N/A,#N/A
Princeton,G,78,Freshman,23,Sebastian Whitfield,3,28,345.08,12,22,10,41,0.44211,0.2619,41,4.752521155,0.563,0.326,0.457,0.475,,-3.2074081,0.016,-0.56071318,0.31,-3.76812128,0.034,3.054537448,4.649316028
Penn,G,76,Freshman,4,Jay Jones,0,23,301.02,9,15,13,44,0.24138,0.42857,51,6.776958342,0.31,0.914,0.525,0.71,,-1.4517126,0.147,1.1847535,0.781,-0.2669591,0.388,2.698881016,3.299372784
Cornell,G,75,Freshman,12,Ryan Burbach,0,4,30.7,1,1,2,3,0.6,0.16667,5,6.51465798,0.768,0.166,0.175,0.684,,,,,,,,#N/A,#N/A
Cornell,G,77,Junior,0,DaMaryon Fishburn,0,19,142.32,8,12,9,16,0.36842,0.42857,21,5.902192243,0.462,0.914,0.315,0.617,,,,,,,,#N/A,#N/A
Dartmouth,G,6'4,Freshman,11,Cameron Hiatt,1,21,353.33,2,16,12,32,0.68571,0.3125,30,3.396258455,0.852,0.49,0.379,0.295,potential,-0.68814755,0.278,0.19459314,0.533,-0.49355441,0.349,2.275581466,4.484686135
Dartmouth,G,6'1,Sophomore,3,Khai Lockwood,0,6,6.48,0,0,0,0,,,0,0,0,0,0.022,0.022,potential,,,,,,,#N/A,#N/A
Texas,G,77,Senior,12,Tramon Mark,30,30,841.36,31,35,28,68,0.37778,0.30252,92,4.373870876,0.478,0.449,0.747,0.421,,3.2380023,0.909,1.3464819,0.821,4.5844842,0.907,2.381158319,2.961060315
Vanderbilt,G,74,Senior,2,Duke Miles,21,23,664.97,5,38,60,66,0.43701,0.34234,93,5.594237334,0.558,0.638,0.752,0.578,,4.5715046,0.968,3.1850081,0.978,7.7565127,0.985,1.099626895,1.642010256
Oklahoma,G,70,Senior,9,Nijel Pack,31,31,922.38,17,55,20,83,0.59367,0.45333,65,2.818794857,0.762,0.94,0.61,0.226,,6.3245655,0.994,0.20725539,0.535,6.53182089,0.968,2.17090357,1.551706645
Alabama,G,75,Senior,3,Latrell Wrightsell Jr.,15,23,621.64,9,18,25,61,0.71486,0.36517,77,4.954636124,0.873,0.737,0.676,0.499,,4.0084541,0.949,0.98451472,0.739,4.99296882,0.927,1.920079735,3.198113329
Oklahoma,G,77,Senior,12,Jadon Jones,0,27,528.12,14,13,32,73,0.84746,0.36,106,8.028478376,0.946,0.716,0.805,0.816,,2.3203607,0.817,2.474659,0.949,4.7950197,0.917,3.446747833,4.173007265
Missouri,G,80,Senior,35,Jacob Crews,11,31,653.59,41,18,7,76,0.68927,0.45082,106,6.487247357,0.855,0.939,0.805,0.681,,3.8037103,0.94,-0.66873649,0.282,3.13497381,0.813,3.979788868,3.514933041
Missouri,G,76,Senior,17,Jayden Stone,18,24,727.93,21,24,23,98,0.54751,0.38017,118,6.484139959,0.709,0.792,0.844,0.681,,4.2890519,0.961,0.34222781,0.574,4.63127971,0.909,2.962098655,2.611026225
LSU,G,77,Senior,7,PJ Carter,1,25,263.24,6,4,4,17,0.85417,0.34146,23,3.494909588,0.947,0.635,0.33,0.308,,1.8591211,0.754,-2.5524245,0.008,-0.6933034,0.322,2.508643217,4.302976649
South Carolina,G,74,Senior,5,Meechie Johnson,31,31,975.05,8,69,40,91,0.45799,0.33728,70,2.871647608,0.587,0.618,0.638,0.231,,3.0120094,0.889,1.6516679,0.869,4.6636773,0.91,1.269719488,1
Tennessee,G,74,Senior,7,Grant Hurst,0,1,1.6,0,0,0,0,1,0,0,0,0.965,0,0.022,0.022,,,,,,,,#N/A,#N/A
South Carolina,G,77,Senior,4,Kobe Knox,31,31,930.76,31,41,32,79,0.31963,0.3,101,4.340538914,0.399,0.433,0.786,0.417,,1.7758847,0.741,0.98538842,0.74,2.76127312,0.776,2.419451091,2.711220327
