teamMarket,Pos,HEIGHT,CLASS YR,jerseyNum,fullName,GS,GP,MP,ORB,TOV,STL,DRB,3PAr,3P%,extra_poss,extra_poss_per_40,3PAr %ile,3P% %ile,extra_poss_perc,extra_poss_per_40_perc,status,OBPR,OBPR_perct,DBPR,DBPR_perct,BPR,BPR_perct,Position,Role
Kansas St.,G,6'1,Freshman,2,Exavier Wilson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,potential,,,,,,,#N/A,#N/A
Georgia Tech,G,6'7,Freshman,32,Dyllan Thompson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0.022,potential,,,,,,,#N/A,#N/A
Saint Francis,G,78,Senior,8,Skylar Wicks,28,28,929.56,44,75,40,144,0.38444,0.3631,153,6.583760059,0.488,0.727,0.931,0.688,,0.097239979,0.425,-1.1107088,0.172,-1.013468821,0.279,3.542864433,1.781785345
Central Conn. St.,G,75,Senior,1,Jay Rodgers,27,28,842.87,2,77,11,60,0.35458,0.35955,-4,-0.189827613,0.444,0.714,0.001,0.021,,2.3582908,0.822,-2.3046768,0.019,0.053614,0.436,1,1
Chicago St.,G,69,Senior,21,Braelon Bush,9,26,672.73,2,36,33,48,0.4951,0.27723,47,2.794583265,0.631,0.365,0.497,0.223,,0.85810916,0.581,-1.9953683,0.038,-1.13725914,0.259,1.15955434,1.599326827
Mercyhurst,G,75,Senior,1,Sean Lang,0,29,390.12,19,8,17,52,0.57143,0.1875,80,8.202604327,0.733,0.186,0.693,0.829,,-1.2681005,0.172,-0.088506017,0.45,-1.356606517,0.232,3.185675092,4.697071316
Mercyhurst,G,71,Senior,4,Bernie Blunt,31,31,979.82,20,40,35,82,0.44203,0.3224,97,3.959911004,0.563,0.531,0.772,0.372,,1.6866203,0.727,-1.0151423,0.191,0.671478,0.523,2.212042184,1.723936094
Wagner,G,74,Senior,9,Jaden Baker,21,21,659.98,9,43,11,64,0.43085,0.38272,41,2.484923786,0.551,0.801,0.457,0.188,,-1.0429318,0.209,-2.2343673,0.024,-3.2772991,0.06,2.239407813,2.926444494
LIU,G,74,Senior,10,A.J. Neal,0,14,114.59,1,8,4,5,0.34783,0.5,2,0.698141199,0.437,0.953,0.113,0.083,,,,,,,,#N/A,#N/A
Saint Francis,G,74,Senior,55,Ahmad Harrison,19,29,746.41,15,48,35,49,0.39754,0.36082,51,2.733082354,0.503,0.721,0.525,0.216,,-1.9228117,0.091,-1.2123092,0.148,-3.1351209,0.067,1.83925569,3.206550041
Saint Francis,G,74,Senior,2,Zion Russell,16,26,774.17,16,54,41,88,0.40458,0.38679,91,4.70180968,0.515,0.817,0.741,0.466,,-0.52126324,0.311,-1.3124119,0.125,-1.83367514,0.174,2.20278592,1.817330291
LIU,G,77,Junior,1,Jomo Goings,32,33,1011.75,27,75,45,124,0.36296,0.37755,121,4.783790462,0.454,0.784,0.856,0.478,,-0.58765229,0.298,0.8529845,0.706,0.26533221,0.464,2.758516419,3.236997701
Stonehill,G,77,Senior,1,Rex Sunderland,30,31,847.73,10,76,37,100,0.48503,0.2716,71,3.35012327,0.62,0.348,0.643,0.288,,-2.664954,0.035,1.0099989,0.745,-1.6549551,0.194,1.506945828,2.89346312
Saint Francis,G,78,Senior,0,Chris Moncrief,19,21,579.47,18,42,28,41,0.17687,0.34615,45,3.106286779,0.252,0.653,0.482,0.259,,-0.34677303,0.34,-1.777765,0.056,-2.12453803,0.145,2.02223088,2.720324806
Central Conn. St.,G,75,Senior,12,Gabe Spinelli,0,9,128.99,0,9,5,12,0.22222,0.33333,8,2.480812466,0.292,0.567,0.209,0.187,,,,,,,,#N/A,#N/A
Chicago St.,G,79,Senior,1,Deshawn Jean-Charles,3,4,35.11,2,0,1,3,0,,6,6.835659356,0,0,0.186,0.715,,,,,,,,#N/A,#N/A
Stonehill,G,73,Senior,3,Will Batchelder,2,2,63.34,0,6,3,5,0.55,0.27273,2,1.263024945,0.712,0.349,0.113,0.099,,,,,,,,#N/A,#N/A
Stonehill,G,76,Senior,5,Chas Stinson,28,30,857.94,45,63,29,117,0.125,0.23529,128,5.967783295,0.214,0.257,0.875,0.625,,-1.4516534,0.147,1.2526369,0.799,-0.1990165,0.399,3.401789391,2.471720306
Stonehill,G,80,Senior,33,Ethan Meuser,11,20,408.5,34,23,11,70,0.54054,0.28333,92,9.008567931,0.701,0.38,0.747,0.878,,-1.5016674,0.14,1.1662977,0.778,-0.3353697,0.377,4.14501415,3.173973257
Chicago St.,G,77,Senior,4,Marcus Tankersley,28,29,892.47,10,58,20,81,0.09119,0.24138,53,2.375429986,0.192,0.268,0.539,0.178,,-1.0274587,0.211,-2.2694789,0.02,-3.2969376,0.057,2.369884907,2.039836979
New Haven,G,76,Senior,22,Maison Adeleye,9,28,452.16,8,25,16,49,0.40196,0.2439,48,4.246284501,0.512,0.273,0.505,0.406,,-2.2689567,0.06,-0.42854592,0.345,-2.69750262,0.097,2.706194076,3.340647633
Central Conn. St.,G,76,Senior,6,Melo Sanchez,24,27,680.92,11,24,25,46,0.64851,0.42748,58,3.407155026,0.815,0.913,0.568,0.297,,0.15551735,0.44,-0.81089079,0.241,-0.65537344,0.326,2.074523771,3.018102874
Chicago St.,G,79,Junior,5,Chauncey Gibson,3,14,207.45,9,11,7,22,0.57333,0.30233,27,5.206073753,0.739,0.447,0.358,0.528,,,,,,,,#N/A,#N/A
Mercyhurst,G,73,Senior,10,Christian Gamble,30,31,665.58,6,17,22,47,0.57025,0.26087,58,3.485681661,0.732,0.322,0.568,0.308,,-2.3095426,0.057,-0.74096806,0.26,-3.05051066,0.072,1.75400206,3.690781637
Le Moyne,G,76,Senior,7,Trent Mosquera,29,31,996.77,25,64,40,157,0.60734,0.35814,158,6.34047975,0.781,0.707,0.939,0.665,,0.35355904,0.481,0.060537576,0.493,0.414096616,0.491,3.11796909,2.896094882
Chicago St.,G,78,Senior,23,CJ Ray,26,31,966.95,65,40,27,75,0.2973,0.37273,127,5.253632556,0.374,0.765,0.871,0.534,,0.33624347,0.476,-1.3864634,0.112,-1.05021993,0.272,3.439617857,2.47758931
LIU,G,78,Junior,4,Tre'shawn Sheppard,0,25,250.44,24,10,10,45,0.13953,0.33333,69,11.02060374,0.226,0.567,0.633,0.948,,,,,,,,#N/A,#N/A
FDU,G,75,Senior,7,Eric Parnell,28,29,756.06,14,13,13,50,0.76552,0.33333,64,3.385974658,0.905,0.567,0.606,0.293,,0.10223666,0.426,-1.4369677,0.102,-1.33473104,0.235,2.618891497,3.20831139
Le Moyne,G,72,Senior,0,Ametri Moss,1,1,36.88,2,2,1,5,0.27273,0,6,6.507592191,0.344,0,0.186,0.683,,,,,,,,#N/A,#N/A
LIU,G,76,Senior,0,Malachi Davis,32,33,1021.18,30,95,41,85,0.31206,0.31061,61,2.389392663,0.389,0.483,0.586,0.18,,-0.38462969,0.332,-0.09360638,0.449,-0.47823607,0.353,1.723815245,2.501815011
FDU,G,78,Junior,8,Noah Melson,5,22,368.97,5,11,3,25,0.62295,0.27632,22,2.385017752,0.793,0.363,0.322,0.18,,-2.0539345,0.079,-2.4072614,0.014,-4.4611959,0.014,3.057442167,4.833649815
Le Moyne,G,78,Junior,1,Tennessee Rainwater,6,31,762.46,26,56,23,110,0.25,0.5,103,5.403562154,0.318,0.953,0.794,0.552,,0.76126156,0.562,0.18253463,0.529,0.94379619,0.565,3.056546388,2.15977007
Saint Francis,G,72,Senior,1,KJ Swain,2,12,63.28,0,3,2,4,0.72222,0.23077,3,1.896333755,0.877,0.247,0.139,0.136,,,,,,,,#N/A,#N/A
FDU,G,74,Senior,0,Joey Niesman,26,29,1007.7,31,58,35,76,0.51148,0.33974,84,3.334325692,0.668,0.626,0.712,0.285,,0.61562734,0.532,-1.0802846,0.176,-0.46465726,0.355,1.536065981,1.965837456
Wagner,G,77,Junior,7,Eddie Placer,11,27,684.96,8,25,13,44,0.60622,0.41026,40,2.335902826,0.779,0.881,0.448,0.175,,0.13889495,0.435,-1.6412583,0.072,-1.50236335,0.214,2.044956298,3.255500888
Stonehill,G,75,Senior,22,Charlie Diamantis,0,3,6.48,0,1,0,3,1,0,2,12.34567901,0.965,0,0.113,0.97,,,,,,,,#N/A,#N/A
Stonehill,G,77,Senior,30,Anthony Holden,0,18,173.16,4,3,3,10,0.65517,0.47368,14,3.234003234,0.82,0.95,0.261,0.274,,,,,,,,#N/A,#N/A
Mercyhurst,G,74,Sophomore,7,Deshaun Jackson Jr.,1,31,695.84,19,44,32,69,0.01156,0,76,4.368820418,0.126,0,0.671,0.42,,-0.004237813,0.406,0.61240553,0.648,0.608167717,0.517,2.157048646,2.646725897
Mercyhurst,G,74,Sophomore,11,Jake Lemelman,31,31,952.84,12,53,35,69,0.3812,0.39041,63,2.644725242,0.484,0.826,0.599,0.204,,0.86986659,0.582,-1.066808,0.179,-0.19694141,0.4,1.676644861,1.628793661
Central Conn. St.,G,73,Freshman,3,Roddy Jones,0,21,219.62,5,4,5,4,0.91781,0.37313,10,1.821327748,0.96,0.765,0.228,0.131,,,,,,,,#N/A,#N/A
Central Conn. St.,G,78,Sophomore,24,James Jones,21,24,716.76,39,21,19,96,0.24762,0.26923,133,7.42228919,0.315,0.341,0.889,0.773,,-1.5524081,0.133,-0.54821354,0.314,-2.10062164,0.146,3.504761832,4.750447729
Stonehill,G,76,Sophomore,10,Hermann Koffi,30,30,1085.17,11,37,14,76,0.59337,0.36041,64,2.35907738,0.762,0.719,0.606,0.177,,-0.55393591,0.306,-1.8732377,0.048,-2.42717361,0.117,2.212827502,3.081698901
Saint Francis,G,76,Sophomore,15,Victor Payne,25,29,687.97,29,25,25,64,0.67114,0.37,93,5.407212524,0.839,0.754,0.752,0.553,,-0.99076733,0.217,-0.87410933,0.225,-1.86487666,0.171,3.627479392,3.577072329
Saint Francis,G,76,Junior,30,Trey Weiand,0,13,49.83,0,1,1,0,0.8,0.25,0,0,0.924,0.279,0.022,0.022,,,,,,,,#N/A,#N/A
Le Moyne,G,75,Sophomore,2,Jakai Sanders,21,28,856.61,16,68,24,79,0.33636,0.36486,51,2.381480487,0.426,0.734,0.525,0.179,,-0.3766865,0.335,-1.4333763,0.103,-1.8100628,0.177,1.298461217,1.844396984
Le Moyne,G,72,Sophomore,10,Jakob Blakley,28,31,497.27,7,13,2,29,0.70588,0.32143,25,2.010979951,0.866,0.525,0.345,0.145,,-2.3813576,0.052,-2.4036335,0.014,-4.7849911,0.01,2.458632015,4.438030755
Le Moyne,G,78,Sophomore,13,Deng Garang,31,31,942.39,33,47,35,128,0.46617,0.33871,149,6.324345547,0.596,0.622,0.923,0.664,,-0.88005577,0.239,-0.84865456,0.232,-1.72871033,0.185,3.377291028,3.912548693
FDU,G,80,Sophomore,15,Josiah Francis,0,12,65.58,3,5,0,11,0.63636,0.14286,9,5.4894785,0.803,0.151,0.218,0.564,,,,,,,,#N/A,#N/A
FDU,G,73,Sophomore,3,Raysean Johnson,14,28,472.84,16,27,21,31,0.45545,0.26087,41,3.468403688,0.584,0.322,0.457,0.304,,-1.8452506,0.1,-1.4037563,0.109,-3.2490069,0.061,1.951476443,3.946830409
New Haven,G,76,Sophomore,23,Najimi George,27,28,973.88,24,48,21,78,0.37319,0.28155,75,3.080461659,0.471,0.374,0.665,0.256,,-2.0240321,0.081,-0.79492051,0.245,-2.81895261,0.089,2.753411724,3.330384652
Central Conn. St.,G,75,Senior,10,Ja'Kobe Williams,3,6,106.46,2,6,4,13,0.29167,0.14286,13,4.884463648,0.368,0.151,0.252,0.49,,,,,,,,#N/A,#N/A
Central Conn. St.,G,75,Freshman,0,Elijah Parker,2,27,386.78,10,21,19,40,0.36842,0.2381,48,4.964062258,0.462,0.263,0.505,0.5,,-3.0660344,0.017,0.026054195,0.481,-3.039980205,0.073,2.296233487,4.548952823
Central Conn. St.,G,76,Freshman,13,Ashton Reynolds,1,21,212.57,14,6,4,22,0.34615,0.33333,34,6.397892459,0.435,0.567,0.407,0.671,,,,,,,,#N/A,#N/A
New Haven,G,72,Freshman,10,Vere Anthony,0,11,135.51,1,9,7,9,0.33333,0.11111,8,2.36144934,0.412,0.139,0.209,0.177,,,,,,,,#N/A,#N/A
New Haven,G,75,Freshman,2,Aidan Losiewicz,1,20,143.64,1,8,4,11,0.82222,0.37838,8,2.227791701,0.935,0.786,0.209,0.165,,,,,,,,#N/A,#N/A
New Haven,G,80,Freshman,21,Zoumana Traore,0,18,127.83,5,11,4,21,0.54167,0.23077,19,5.945396229,0.702,0.247,0.298,0.622,,,,,,,,#N/A,#N/A
Stonehill,G,75,Junior,4,Davante Hackett,10,31,871.01,29,43,26,98,0.51156,0.34463,110,5.051606755,0.668,0.649,0.818,0.511,,0.45033913,0.502,-0.44848379,0.341,0.00185534,0.427,2.739606118,1.826060984
Stonehill,G,75,Sophomore,2,Trenton Ruth,0,30,323.55,5,22,8,22,0.42056,0.26667,13,1.607170453,0.535,0.333,0.252,0.117,,-3.2782621,0.013,-0.385769,0.356,-3.6640311,0.039,1.550715351,3.434328746
Le Moyne,G,74,Freshman,11,Josiah Lee,0,15,59.76,0,1,2,3,1,0.3,4,2.677376171,0.965,0.433,0.161,0.207,,,,,,,,#N/A,#N/A
Le Moyne,G,76,Freshman,3,Eli Greenberg,8,30,416.24,7,32,14,29,0.58824,0.275,18,1.729771286,0.755,0.358,0.291,0.125,,-1.081016,0.201,-0.12016437,0.439,-1.20118037,0.249,1.517495015,3.624084861
Le Moyne,G,77,Junior,12,Samuel Hincapie,0,30,469.73,12,19,5,51,0.39695,0.26923,49,4.172609797,0.503,0.341,0.511,0.397,,-2.521303,0.041,-1.0891849,0.174,-3.6104879,0.042,3.013027375,4.205274384
Mercyhurst,G,77,Senior,15,Kaden Fuhrmann,0,30,346.29,3,12,10,18,0.82955,0.32877,19,2.19469231,0.937,0.555,0.298,0.162,,-0.61320719,0.292,-1.2687535,0.132,-1.88196069,0.169,1.839063662,3.14104018
Saint Francis,G,76,Freshman,7,Paris Papadatos,0,21,245.19,5,18,5,13,0.50602,0.2381,5,0.815693952,0.661,0.263,0.175,0.086,,,,,,,,#N/A,#N/A
Saint Francis,G,77,Freshman,3,Brandon Russell,2,27,281.4,6,17,9,17,0.60274,0.13636,15,2.132196162,0.775,0.15,0.27,0.157,,-3.8194639,0.005,-1.8695263,0.049,-5.6889902,0.004,2.692499787,4.995944797
Saint Francis,G,75,Sophomore,11,Melvin Weaver III,0,4,6.96,0,0,0,1,0,,1,5.747126437,0,0,0.074,0.599,,,,,,,,#N/A,#N/A
LIU,G,78,Junior,3,Faheim Meran,0,18,263.13,9,17,14,11,0.625,0.36667,17,2.584273933,0.794,0.741,0.286,0.197,,-1.3555614,0.161,0.44240083,0.605,-0.91316057,0.291,1.768485547,3.725117329
FDU,G,72,Freshman,24,Ras Elijah Godbolt,2,27,314.07,9,7,10,10,0.42857,0.13333,22,2.801923138,0.545,0.148,0.322,0.223,,-0.84337535,0.245,-0.42816753,0.346,-1.27154288,0.241,1.48704079,4.377060004
FDU,G,80,Freshman,35,David Jevtic,10,28,590.52,23,38,12,70,0.5443,0.33721,67,4.538372959,0.705,0.618,0.622,0.445,,-2.0647654,0.077,-1.2746972,0.132,-3.3394626,0.054,3.015478731,3.073678704
Wagner,G,74,Junior,0,Nick Jones,22,28,905.33,21,75,50,77,0.30606,0.28713,73,3.225343245,0.382,0.4,0.654,0.272,,0.1225449,0.431,0.70385931,0.67,0.82640421,0.545,1.671983961,1.982017678
Wagner,G,76,Freshman,3,Elijah Brown,4,19,107.64,2,4,2,3,0.27778,0.6,3,1.114827202,0.35,0.98,0.139,0.096,,,,,,,,#N/A,#N/A
Wagner,G,75,Junior,4,John Awoke,10,26,659.25,14,36,10,60,0.5443,0.39535,48,2.912400455,0.705,0.838,0.505,0.236,,-0.12160217,0.384,-1.3591947,0.116,-1.48079687,0.216,2.316023186,3.220535276
Wagner,G,78,Junior,5,Michael Cooper,4,28,387.57,28,25,10,37,0.40206,0.35897,50,5.160358129,0.512,0.71,0.519,0.522,,3.0547771,0.892,-1.0773879,0.176,1.9773892,0.693,2.264004549,2.296437548
Wagner,G,71,Junior,12,Huascar Cuevas,3,5,68.82,2,8,3,3,0.7,0.42857,0,0,0.861,0.914,0.022,0.022,,,,,,,,#N/A,#N/A
Chicago St.,G,74,Junior,3,Doyel Cockrill III,8,27,657.81,13,28,26,56,0.62041,0.35526,67,4.074124747,0.791,0.694,0.622,0.384,,1.5577409,0.701,-1.8329556,0.052,-0.2752147,0.387,2.113408913,1.318441343
Chicago St.,G,71,Freshman,9,Malek Robinson,22,31,474.85,5,25,54,44,0.27027,0.3,78,6.570495946,0.341,0.433,0.681,0.688,,-2.9931185,0.02,0.90260136,0.719,-2.09051714,0.147,1.825256632,3.909222258
Chicago St.,G,76,Senior,10,Corey Sands,20,29,516.77,16,12,13,40,0.65217,0.26667,57,4.412020822,0.818,0.333,0.561,0.427,,-3.3680752,0.013,-1.7078335,0.063,-5.0759087,0.008,2.966013826,4.691683103
Chicago St.,G,72,Sophomore,11,Lionel Larvadain,1,20,222.81,0,20,16,22,0.20313,0.23077,18,3.231452807,0.277,0.247,0.291,0.273,,,,,,,,#N/A,#N/A
LIU,G,72,Sophomore,14,Eddie Munyak,0,1,1.92,0,0,0,0,,,0,0,0,0,0.022,0.022,,,,,,,,#N/A,#N/A
Stonehill,G,75,Freshman,21,Colin Byrne,0,1,2.25,1,0,0,1,,,2,35.55555556,0,0,0.113,0.998,,,,,,,,#N/A,#N/A
FDU,G,72,Freshman,11,Tyler McQuaid,0,4,5.07,0,0,0,0,,,0,0,0,0,0.022,0.022,,,,,,,,#N/A,#N/A
Stonehill,G,76,Freshman,15,Norbu Jenpa,0,4,7.06,0,2,0,1,1,0,-1,-5.66572238,0.965,0,0.009,0.007,,,,,,,,#N/A,#N/A
Stonehill,G,73,Junior,12,Eino Montin,0,2,8.52,0,1,0,1,0,,0,0,0,0,0.022,0.022,,,,,,,,#N/A,#N/A
Le Moyne,G,74,Senior,33,Sam Donnelly,0,4,7.6,0,1,0,1,0,,0,0,0,0,0.022,0.022,,,,,,,,#N/A,#N/A
Le Moyne,G,73,Junior,22,Kaelin Thomas,0,2,4.25,1,1,0,0,0,,0,0,0,0,0.022,0.022,,,,,,,,#N/A,#N/A
FDU,G,78,Sophomore,5,Chidube Ekwommadu,0,2,15.72,0,2,0,1,1,0,-1,-2.544529262,0.965,0,0.009,0.013,,,,,,,,#N/A,#N/A
Mercyhurst,G,75,Junior,33,Vladimir Pavlovic,0,6,19.89,0,5,0,0,0.33333,0,-5,-10.05530417,0.412,0,0.001,0.003,,,,,,,,#N/A,#N/A
Mercyhurst,G,78,Freshman,2,Brady Conner,0,4,13.49,1,1,1,2,0.33333,0,3,8.895478132,0.412,0,0.139,0.873,,,,,,,,#N/A,#N/A
New Haven,G,74,Freshman,7,Dior Kennedy,0,3,4.25,0,0,1,2,0.2,0,3,28.23529412,0.269,0,0.139,0.996,,,,,,,,#N/A,#N/A
LIU,G,77,Freshman,5,Max Ndlovu-Fraser,0,6,51.95,1,3,3,2,0.42857,0.33333,3,2.309913378,0.545,0.567,0.139,0.172,,,,,,,,#N/A,#N/A
Mercyhurst,G,77,Freshman,23,Or Faran Frenkel,0,8,27.31,0,0,1,0,0.375,0.33333,1,1.464664958,0.473,0.567,0.074,0.11,,,,,,,,#N/A,#N/A
Chicago St.,G,73,Sophomore,25,Dakari Thomas,0,20,85.37,1,1,6,9,0,,15,7.028230057,0,0,0.27,0.738,,,,,,,,#N/A,#N/A
Austin Peay,G,74,Senior,12,Anton Brookshire,18,29,733.28,10,41,31,56,0.76536,0.35766,56,3.054767619,0.904,0.705,0.555,0.253,,0.72569495,0.554,-0.23939239,0.401,0.48630256,0.498,1.750461799,3.058372413
Central Ark.,G,72,Senior,11,Rashad Bolden,2,2,51.11,0,0,3,8,0.5,0.18182,11,8.608882802,0.634,0.18,0.234,0.857,,,,,,,,#N/A,#N/A
Lipscomb,G,72,Junior,7,Ethan Duncan,6,29,611.47,14,19,23,41,0.64706,0.37576,59,3.859551572,0.813,0.777,0.574,0.357,,1.5737034,0.705,-1.0962148,0.173,0.4774886,0.497,2.244516049,3.023447314
North Florida,G,76,Senior,4,Devin Hines,13,25,424.18,14,24,15,40,0.31933,0.23684,45,4.243481541,0.399,0.262,0.482,0.405,,-2.3031392,0.057,-1.9627851,0.04,-4.2659243,0.018,3.236821407,4.414817728
Central Ark.,G,74,Junior,1,Camren Hunter,32,32,1016.08,38,59,43,100,0.39794,0.37824,122,4.802771435,0.504,0.786,0.859,0.48,,3.9298965,0.945,0.45743701,0.611,4.38733351,0.896,2.612264999,1.126131964
Austin Peay,G,73,Senior,3,Matt Enright,11,23,343.42,9,7,13,16,0.79012,0.375,31,3.610739037,0.919,0.769,0.387,0.321,,-0.35449275,0.338,-1.1987283,0.152,-1.55322105,0.206,1.949783882,4.235697371
Queens (NC),G,74,Senior,11,Chris Ashby,33,33,1017.15,9,26,17,57,0.87307,0.36525,57,2.241557292,0.952,0.737,0.561,0.167,,1.8476493,0.752,-2.3150844,0.018,-0.4674351,0.354,2.104240736,4.066374206
Lipscomb,G,79,Senior,23,Kellan Boylan,0,30,361.2,32,13,14,67,0.21429,0.06667,100,11.07419712,0.286,0.125,0.782,0.949,,-0.61654147,0.291,0.69695286,0.669,0.08041139,0.44,4.767970551,4.593788455
Austin Peay,G,78,Senior,24,Hansel Enmanuel,0,9,50.54,5,1,0,4,0,,8,6.33161852,0,0,0.209,0.665,,,,,,,,#N/A,#N/A
Eastern Ky.,G,71,Senior,0,Turner Buttry,11,30,806.96,12,36,14,41,0.71981,0.37584,31,1.536631308,0.875,0.777,0.387,0.114,,3.0074605,0.888,-2.0939131,0.031,0.9135474,0.56,1.493637845,2.080222059
Eastern Ky.,G,76,Junior,11,Jackson Holt,11,30,588.07,14,26,17,42,0.75625,0.43802,47,3.196898328,0.9,0.928,0.497,0.269,,1.6954485,0.728,-2.0262458,0.035,-0.3307973,0.378,2.09003518,2.77294999
Lipscomb,G,77,Senior,30,Ross Candelino,12,26,652.87,32,23,14,98,0.69417,0.43357,121,7.413420742,0.858,0.921,0.856,0.772,,1.6988374,0.73,-0.58118569,0.304,1.11765171,0.592,3.733300251,2.809997047
Lipscomb,G,72,Junior,1,Mateo Esmeraldo,30,30,923.17,21,47,45,96,0.35268,0.31646,115,4.982830898,0.442,0.507,0.836,0.502,,3.4599429,0.921,0.45257603,0.608,3.91251893,0.864,1,1.263589358
Jacksonville,G,79,Senior,31,"Jason Thirdkill, Jr.",24,30,690.49,44,24,22,112,0.35484,0.29091,154,8.921200886,0.445,0.408,0.932,0.874,,-0.14347276,0.38,0.40112005,0.593,0.25764729,0.462,4.819428677,3.503528858
West Ga.,G,71,Senior,23,Malcolm Noel,17,27,633.85,4,56,20,46,0.56897,0.31313,14,0.883489785,0.731,0.494,0.261,0.088,,0.22463048,0.454,-1.215007,0.147,-0.99037652,0.281,1.078734552,1.331241795
Jacksonville,G,76,Sophomore,11,Chris Lockett,11,30,751.18,26,24,31,62,0.40741,0.30303,95,5.058707633,0.519,0.45,0.761,0.512,,1.001739,0.609,-0.6282569,0.292,0.3734821,0.482,2.051876632,3.012728316
North Florida,G,79,Sophomore,2,Mason Lee,28,30,789.36,44,56,19,124,0.53165,0.36905,131,6.638289247,0.69,0.75,0.884,0.696,,-0.42553082,0.326,-0.70431243,0.27,-1.12984325,0.26,4.153204979,2.697734614
FGCU,G,74,Sophomore,10,George Washington III,1,13,107.59,0,10,2,3,0.7907,0.23529,-5,-1.858908821,0.919,0.257,0.001,0.016,,,,,,,,#N/A,#N/A
West Ga.,G,74,Sophomore,1,Brady Hardewig,25,29,507.58,5,16,12,32,0.87629,0.36471,33,2.600575279,0.955,0.734,0.399,0.199,,-0.7766618,0.258,-0.91520216,0.21,-1.69186396,0.19,2.126259064,4.031670603
FGCU,G,72,Junior,1,Rahmir Barno,32,32,1026.17,10,65,46,77,0.17252,0.2963,68,2.650632936,0.249,0.421,0.627,0.205,,0.51088595,0.513,0.4348817,0.603,0.94576765,0.565,1.095776315,1.854483624
Queens (NC),G,77,Senior,1,Nasir Mann,33,33,1005.11,47,55,37,140,0.31269,0.32673,169,6.72563202,0.391,0.546,0.953,0.704,,2.2432577,0.81,-1.4426623,0.101,0.8005954,0.542,2.919419881,2.700196658
Jacksonville,G,72,Junior,2,Jaylen Jones,27,29,803.7,24,64,38,78,0.3254,0.34146,76,3.78250591,0.405,0.635,0.671,0.347,,-0.43690426,0.324,-0.74126052,0.26,-1.17816478,0.252,1.680980364,2.393363659
Central Ark.,G,80,Junior,13,Parker Applegate,0,27,174.68,5,11,6,26,0.5,0.22727,26,5.953743989,0.634,0.244,0.351,0.623,,,,,,,,#N/A,#N/A
Bellarmine,G,76,Junior,10,Grant Whitaker,2,25,169.83,8,14,5,9,0.28,0.28571,8,1.884237178,0.353,0.382,0.209,0.135,,,,,,,,#N/A,#N/A
Bellarmine,G,75,Junior,8,Kenyon Goodin,29,29,970.95,12,22,24,70,0.6789,0.41892,84,3.460528349,0.846,0.902,0.712,0.303,,2.995306,0.886,-1.6135366,0.077,1.3817694,0.628,2.559346792,3.235733166
North Ala.,G,74,Junior,4,Canin Jefferson,16,20,611.09,2,44,26,36,0.45366,0.29032,20,1.309136134,0.58,0.406,0.307,0.102,,-0.44775827,0.323,-0.99011825,0.198,-1.43787652,0.222,1.123314112,1.315102839
Central Ark.,G,78,Junior,2,Javion Guy-King,20,30,689.69,24,39,34,105,0.53556,0.34375,124,7.191636822,0.695,0.643,0.864,0.754,,0.66438319,0.541,0.73725615,0.678,1.40163934,0.629,3.295366932,3.118954414
West Ga.,G,76,Junior,10,Josh Smith,6,29,789.05,12,42,23,44,0.41191,0.34337,37,1.875673278,0.525,0.642,0.425,0.135,,2.6822595,0.858,-0.022600977,0.47,2.659658523,0.763,5,3.229967685
North Florida,G,74,Senior,11,Kamrin Oriol,30,30,1082.19,7,98,23,79,0.51556,0.40948,11,0.406582948,0.672,0.879,0.234,0.077,,2.9444482,0.885,-2.1946012,0.026,0.749847,0.535,1.520423775,1
North Florida,G,77,Sophomore,5,Dante Oliver,0,29,364.69,13,7,6,27,0.60377,0.375,39,4.277605638,0.776,0.769,0.44,0.409,,-1.4486518,0.148,-1.1472627,0.165,-2.5959145,0.103,2.982159712,4.817116376
North Florida,G,71,Freshman,3,Taylor Thompson,0,17,53.34,0,6,0,3,0.57143,0.25,-3,-2.249718785,0.733,0.279,0.002,0.014,,,,,,,,#N/A,#N/A
Central Ark.,G,76,Sophomore,12,Ty Robinson,32,32,898.58,54,36,60,124,0.55621,0.37234,202,8.9919651,0.719,0.764,0.977,0.876,,2.0204795,0.777,1.7338094,0.878,3.7542889,0.851,3.295526495,2.362245185
Central Ark.,G,73,Sophomore,17,Ethan Thomas,0,7,24.88,0,1,1,1,0,,1,1.607717042,0,0,0.074,0.117,,,,,,,,#N/A,#N/A
Bellarmine,G,77,Sophomore,2,Tyler Doyle,22,25,703.88,15,41,15,57,0.2132,0.33333,46,2.614081946,0.285,0.567,0.49,0.201,,2.2391976,0.809,-2.5212465,0.009,-0.2820489,0.386,1.991106017,2.338040271
Central Ark.,G,78,Sophomore,24,Cole McCormick,13,30,682.81,35,30,30,68,0.48438,0.32258,103,6.033889369,0.618,0.531,0.794,0.632,,1.3698559,0.671,-0.14886438,0.43,1.22099152,0.606,3.305465586,3.168343313
Bellarmine,G,75,Sophomore,4,Grant Neal,0,9,23.52,1,1,2,1,0.27273,0,3,5.102040816,0.344,0,0.139,0.516,,,,,,,,#N/A,#N/A
